x,y,zone
14,20,4
15,20,4
16,20,4
17,20,4
18,20,4
19,20,4
20,20,4
21,20,5
22,20,5
23,20,6
24,20,6
25,20,7
26,20,7
27,20,8
28,20,8
29,20,8
30,20,9
31,20,9
32,20,9
0,21,9
1,21,9
2,21,9
3,21,9
4,21,8
5,21,8
6,21,8
7,21,8
8,21,7
9,21,7
10,21,6
11,21,6
12,21,5
13,21,5
14,21,5
15,21,5
16,21,5
17,21,5
18,21,5
19,21,5
20,21,5
21,21,5
22,21,6
23,21,6
24,21,7
25,21,7
26,21,8
27,21,8
28,21,8
29,21,9
30,21,9
31,21,9
32,21,9
0,22,9
1,22,9
2,22,9
3,22,9
4,22,8
5,22,8
6,22,8
7,22,8
8,22,7
9,22,7
10,22,7
11,22,6
12,22,6
13,22,5
14,22,5
15,22,5
16,22,5
17,22,5
18,22,5
19,22,5
20,22,5
21,22,6
22,22,6
23,22,7
24,22,7
25,22,8
26,22,8
27,22,8
28,22,8
29,22,9
30,22,9
31,22,9
32,22,9
0,23,9
1,23,9
2,23,9
3,23,9
4,23,8
5,23,8
6,23,8
7,23,8
8,23,7
9,23,7
10,23,7
11,23,6
12,23,6
13,23,6
14,23,6
15,23,6
16,23,6
17,23,6
18,23,6
19,23,6
20,23,6
21,23,6
22,23,7
23,23,7
24,23,7
25,23,8
26,23,8
27,23,8
28,23,8
29,23,9
30,23,9
31,23,9
32,23,9
0,24,9
1,24,9
2,24,9
3,24,9
4,24,8
5,24,8
6,24,8
7,24,8
8,24,7
9,24,7
10,24,7
11,24,7
12,24,7
13,24,6
14,24,6
15,24,6
16,24,6
17,24,6
18,24,6
19,24,6
20,24,6
21,24,7
22,24,7
23,24,7
24,24,7
25,24,8
26,24,8
27,24,8
28,24,8
29,24,9
30,24,9
31,24,9
32,24,9
0,25,9
1,25,9
2,25,9
3,25,9
4,25,9
5,25,8
6,25,8
7,25,8
8,25,8
9,25,7
10,25,7
11,25,7
12,25,7
13,25,7
14,25,7
15,25,7
16,25,7
17,25,7
18,25,7
19,25,7
20,25,7
21,25,7
22,25,7
23,25,7
24,25,8
25,25,8
26,25,8
27,25,8
28,25,9
29,25,9
30,25,9
31,25,9
32,25,9
0,26,9
1,26,9
2,26,9
3,26,9
4,26,9
5,26,9
6,26,8
7,26,8
8,26,8
9,26,8
10,26,8
11,26,7
12,26,7
13,26,7
14,26,7
15,26,7
16,26,7
17,26,7
18,26,7
19,26,7
20,26,7
21,26,7
22,26,7
23,26,8
24,26,8
25,26,8
26,26,8
27,26,9
28,26,9
29,26,9
30,26,9
31,26,9
32,26,9
0,27,9
1,27,9
2,27,9
3,27,9
4,27,9
5,27,9
6,27,9
7,27,8
8,27,8
9,27,8
10,27,8
11,27,8
12,27,8
13,27,8
14,27,8
15,27,8
16,27,8
17,27,8
18,27,8
19,27,8
20,27,8
21,27,8
22,27,8
23,27,8
24,27,8
25,27,8
26,27,9
27,27,9
28,27,9
29,27,9
30,27,9
31,27,9
32,27,9
0,28,9
1,28,9
2,28,9
3,28,9
4,28,9
5,28,9
6,28,9
7,28,9
8,28,8
9,28,8
10,28,8
11,28,8
12,28,8
13,28,8
14,28,8
15,28,8
16,28,8
17,28,8
18,28,8
19,28,8
20,28,8
21,28,8
22,28,8
23,28,8
24,28,8
25,28,9
26,28,9
27,28,9
28,28,9
29,28,9
30,28,9
31,28,9
32,28,9
0,29,9
1,29,9
2,29,9
3,29,9
4,29,9
5,29,9
6,29,9
7,29,9
8,29,9
9,29,8
10,29,8
11,29,8
12,29,8
13,29,8
14,29,8
15,29,8
16,29,8
17,29,8
18,29,8
19,29,8
20,29,8
21,29,8
22,29,8
23,29,8
24,29,9
25,29,9
26,29,9
27,29,9
28,29,9
29,29,9
30,29,9
31,29,9
32,29,9
0,30,9
1,30,9
2,30,9
3,30,9
4,30,9
5,30,9
6,30,9
7,30,9
8,30,9
9,30,9
10,30,8
11,30,8
12,30,8
13,30,8
14,30,8
15,30,8
16,30,8
17,30,8
18,30,8
19,30,8
20,30,8
21,30,8
22,30,8
23,30,9
24,30,9
25,30,9
26,30,9
27,30,9
28,30,9
29,30,9
30,30,9
31,30,9
32,30,9
0,31,9
1,31,9
2,31,9
3,31,9
4,31,9
5,31,9
6,31,9
7,31,9
8,31,9
9,31,9
10,31,9
11,31,9
12,31,9
13,31,9
14,31,9
15,31,9
16,31,9
17,31,9
18,31,9
19,31,9
20,31,9
21,31,9
22,31,9
23,31,9
24,31,9
25,31,9
26,31,9
27,31,9
28,31,9
29,31,9
30,31,9
31,31,9
32,31,9
0,32,9
1,32,9
2,32,9
3,32,9
4,32,9
5,32,9
6,32,9
7,32,9
8,32,9
9,32,9
10,32,9
11,32,9
12,32,9
13,32,9
14,32,9
15,32,9
16,32,9
17,32,9
18,32,9
19,32,9
20,32,9
21,32,9
22,32,9
23,32,9
24,32,9
25,32,9
26,32,9
27,32,9
28,32,9
29,32,9
30,32,9
31,32,9
32,32,9
